scale0_kurtosis,scale0_mean,scale0_skewness,scale0_std,scale1_kurtosis,scale1_mean,scale1_skewness,scale1_std,scale2_kurtosis,scale2_mean,scale2_skewness,scale2_std,scale3_mean,scale3_std,scale4_mean,scale4_std,scale5_mean,scale5_std,scale6_mean,scale6_std,scale7_mean,signal_mean,label
-0.624996483,0.282328367,0.103607848,0.551110387,-0.706000686,0.497627795,0.104246549,1,1,0.379429221,1,0.792375922,0.329278469,0.665018559,0.545041025,0.994855881,0.306081295,0.502012491,1,0.229488701,0.435374141,0.000350356102,False
-1,0.513867497,0.076549083,0.564555109,-0.49495098,0.878376782,0.127903104,0.983812213,-0.0199295394,0.902614892,1,1,0.428355128,0.456126243,0.714141488,0.849883556,1,0.85986191,0.898769438,0.0465971231,0.29358536,0.00101161003,False
-0.0985827744,0.494986862,0.12246336,0.502872229,-0.882485032,0.85189867,0.0571475588,0.850807488,-1,1,1,1,0.358787954,0.349224031,0.597105742,0.559567273,0.930037856,0.955191076,0.403950006,0.269032031,0.182725996,5.90085983E-06,False
-0.455621004,0.359553605,0.324025095,0.391642243,0.0997680947,0.65224725,1,0.721360147,-1,0.664735496,0.426336437,0.690889895,0.333560526,0.350151151,0.445769757,0.408310771,1,1,0.298198402,0.00652880687,0.334542483,0.000376999378,False
-0.458220184,0.512207627,0.00564559968,0.51771301,-1,0.902803481,0.230487689,0.870293319,-0.32425952,1,1,1,0.325066507,0.339275241,0.53620106,0.545802474,0.768956542,0.593601048,0.440251917,0.139585659,0.615787685,4.88162041E-05,False
-0.676390886,0.525411427,0.469797701,0.543005109,-0.83242321,0.834486187,0.298490018,0.867266357,-1,1,1,1,0.395059168,0.462239027,0.632659137,0.68417424,0.333210111,0.367016107,0.635858238,0.205586493,0.0696335286,0.00125807524,False
-0.0394821465,0.489715755,1,0.544543624,-0.531942785,0.870525122,0.184437767,0.923047304,-1,1,0.468174011,1,0.45162484,0.452155739,0.646847844,0.610488832,0.555833936,0.520194113,0.675287902,0.266079843,0.140236005,0.00129175186,False
-0.247616068,0.586217225,0.551481545,0.580887377,-0.24612847,1,1,1,-1,0.981956363,0.0246615037,0.909442186,0.312107027,0.316794455,0.577656507,0.575681508,0.815666378,0.730645895,0.0821252242,0.0224922299,0.524447918,0.000837087631,False
1,0.556416094,0.749022067,0.625379264,0.103252724,0.907967389,1,1,-0.939504504,1,0.0674738958,0.988295257,0.365574002,0.37891832,0.686220825,0.628704786,0.637799323,0.582241893,0.713585556,0.283908129,0.263406307,0.00147795677,False
-1,0.592779398,0.183506653,0.590776503,-0.54533726,1,0.403751165,1,0.0343508013,0.890916109,1,0.977438986,0.378640085,0.437494159,0.562995136,0.480917931,0.950872302,0.871179283,0.373331547,0.20339337,0.088630639,0.00140839815,False
-1,0.450062066,0.0488630794,0.576176643,0.799512506,0.730955601,0.44762668,0.981145144,-0.458094478,0.69408083,1,0.899905026,0.368801594,0.515441716,0.855759978,1,0.725052595,0.884213328,1,0.037731465,0.193827227,0.000712633133,False
0.251123369,0.286263347,0.62898922,0.359001458,-0.429481328,0.482551038,0.824933469,0.594590008,-1,0.491864175,1,0.566769481,0.292412758,0.360476613,0.399129361,0.440372705,1,1,0.577632308,0.569532931,0.149778709,0.00290369987,False
-1,0.571121514,0.0136293983,0.558417559,0.494471848,0.94431597,0.121290557,1,0.243495971,1,1,0.999006093,0.398166418,0.375729918,0.483603746,0.555658996,0.774544299,0.717549264,0.499395281,0.100240447,0.440502822,0.000446259975,False
1,0.36195612,0.167824164,0.464531958,-0.901006281,0.593053818,0.0468406864,0.724978387,0.940820217,0.586217821,1,0.714589953,0.359119684,0.419288129,0.888726234,1,0.881941199,0.891789436,1,0.987209141,0.106850795,0.00246554613,False
-1,0.531020045,0.0161202364,0.573015332,-0.443186611,0.750616252,0.0784513056,0.864097476,-0.73796773,1,1,1,0.463652432,0.456324786,0.563853681,0.638800919,0.817971647,0.636700094,0.879638612,0.563949406,0.130655512,0.000602424145,False
-1,0.605768204,0.431301504,0.580664635,-0.946794987,0.991193354,0.602784693,0.962957323,-0.395985901,1,1,1,0.348634064,0.368706673,0.707625091,0.662111282,0.99355787,0.832787693,0.246380717,0.182983726,0.387669295,0.00100034475,False
-0.599082828,0.363139451,0.502732396,0.391647995,-1,0.683185875,0.606630087,0.705065787,-0.839166582,0.588725686,1,0.639191926,0.422331482,0.45391947,0.66798538,0.616580606,1,1,0.345942169,0.161913067,0.212582216,0.000165820122,False
-0.222837508,0.368506819,0.350377768,0.505405128,-0.046939224,0.589119971,0.479243577,0.813326538,-1,0.647443473,1,0.887284577,0.464787215,0.540812194,0.789880991,1,0.79251796,0.951773703,1,0.428694874,0.240465209,0.000553607941,False
-0.311044574,0.270914763,0.294011146,0.330127895,1,0.357141584,1,0.508627951,-0.271639973,0.509026945,0.961171031,0.622955322,0.263842493,0.320258617,0.368993878,0.454796225,1,1,0.245237753,0.217114687,0.134000286,0.00166106224,False
-1,0.608693361,0.108354606,0.585355997,0.14789167,0.919587851,0.278942704,0.948295951,-0.863211036,1,1,1,0.570013702,0.561059475,0.902554929,0.807786226,0.690562487,0.602134943,0.632681727,0.110613726,0.14146705,0.0013256073,False
-0.542298853,0.506878316,0.00522819301,0.515801966,-0.956442118,0.890652478,0.0191149339,0.878421605,-1,1,1,1,0.426503688,0.450461447,0.337679684,0.396301895,0.375337124,0.287081569,0.338743597,0.285528481,0.171944976,0.000399827957,False
