scale0_kurtosis,scale0_mean,scale0_skewness,scale0_std,scale1_kurtosis,scale1_mean,scale1_skewness,scale1_std,scale2_kurtosis,scale2_mean,scale2_skewness,scale2_std,scale3_kurtosis,scale3_mean,scale3_skewness,scale3_std,scale4_mean,scale4_std,scale5_mean,scale5_std,scale6_mean,scale6_std,scale7_mean,scale7_std,scale8_mean,signal_mean,label
-0.969643235,0.417823285,0.00280751055,0.411190122,-1,0.759640276,0.10242302,0.746022403,-0.843310714,1,0.202880979,1,-0.576996863,0.266759008,1,0.273516476,0.378249407,0.345450103,0.142530948,0.140711695,0.0346303545,0.034757033,0.055137828,0.0463452116,0.00671406277,2.65240669E-06,2
-0.75080812,0.414982468,0.100793831,0.403167754,-0.720411539,0.764384985,0.256681919,0.738545537,-0.793758512,1,0.0895608515,1,-1,0.400609761,1,0.372674227,0.249819115,0.134041697,0.140601188,0.116171278,0.124524951,0.0946816728,0.0320787057,0.0152372895,0.0389524624,2.50935555E-05,2
-0.334992677,0.398202837,0.151199803,0.403321981,-0.411158144,0.723152876,0.45832783,0.730620205,-1,1,0.12343204,1,0.132699698,0.427650928,1,0.436903864,0.339740187,0.305195421,0.202955097,0.188052386,0.116396286,0.0270489398,0.0424822196,0.0177615229,0.0228869095,0.000139594078,2
-0.230678573,0.404390782,0.371485084,0.389682114,-0.361110419,0.738725483,0.0372030772,0.707041323,0.294265538,1,0.0279506519,1,-1,0.359310508,1,0.321978241,0.305275232,0.25055927,0.0702684298,0.0689545795,0.191187471,0.178896382,0.0869130492,0.0691298097,0.0555838235,5.47766685E-05,2
-1,0.404388994,0.012166813,0.414212793,-0.999691069,0.736660182,0.0165884271,0.753902256,-0.998737097,1,0.0791000277,1,-0.46089533,0.1698073,1,0.180406258,0.322633862,0.308488399,0.127896413,0.12803492,0.0590123571,0.0496039204,0.0278206524,0.0247213598,0.0326073579,0.000103354454,2
-0.470654994,0.490631759,0.046395272,0.515427768,-1,0.903315961,0.160858586,0.899518132,-0.314662248,1,1,1,-0.243350819,0.128808558,0.407596856,0.140236706,0.200844437,0.214635059,0.0873386264,0.0946005806,0.0549370944,0.0516324937,0.0339144543,0.0285666566,0.0160211623,5.92470169E-05,2
0.0710450858,0.489354342,0.0397732146,0.494765043,-0.383882374,1,0.0269237403,1,-0.154976279,0.766252697,0.661245584,0.69126159,1,0.196477339,1,0.198659077,0.248803094,0.213865161,0.247471541,0.241639286,0.27723664,0.173993111,0.0512188338,0.0403868295,0.0314079039,8.2552433E-06,2
-0.70441854,0.502415001,0.0176333617,0.523520231,-0.806124508,0.931544065,0.287942678,0.973821223,-1,1,0.678973198,1,-0.775329232,0.755683899,1,0.772144973,0.415615201,0.396488637,0.539869547,0.565709651,0.387760788,0.232594505,0.0804162696,0.0534633584,0.0284519251,5.27501106E-05,2
0.675921738,0.503652692,0.0273157153,0.528859913,-0.526426256,0.939727783,0.0268066917,0.949229419,1,1,1,1,-0.119888991,0.58929944,0.224311531,0.588311076,0.61043781,0.62741518,0.702748716,0.628683567,0.19610028,0.194614425,0.0511904135,0.0413813628,0.143585429,0.000660598278,2
0.819780469,0.47681731,0.0139593519,0.454293907,-0.220389038,0.772604406,0.103085734,0.725725293,0.649797559,1,0.673276782,1,1,0.537645876,1,0.506659448,0.713426232,0.585430205,0.406021774,0.411705166,0.673519254,0.551520288,0.119772851,0.0880108774,0.0813602954,0.00083643198,2
